numano,nummes,datemissao,txnomeparlamentar,sgpartido,sguf,txtdescricao,txtcnpjcpf,txtfornecedor,vlrdocumento,vlrglosa,vlrliquido
2019,7,,DAMIÃO FELICIANO,PDT,PB,TELEFONIA,00000000000006,RAMAL,130.19,0.00,130.19
2019,7,,EDNA HENRIQUE,PSDB,PB,TELEFONIA,00000000000006,RAMAL,57.85,0.00,57.85
2019,7,,FREI ANASTACIO RIBEIRO,PT,PB,TELEFONIA,00000000000006,RAMAL,92.24,0.00,92.24
2019,7,,WILSON SANTIAGO,PTB,PB,TELEFONIA,00000000000006,RAMAL,63.97,0.00,63.97
2019,7,,GERVÁSIO MAIA,PSB,PB,TELEFONIA,00000000000006,RAMAL,21.70,0.00,21.70
2019,7,,AGUINALDO RIBEIRO,PP,PB,TELEFONIA,00000000000006,RAMAL,18.79,0.00,18.79
2019,7,,JULIAN LEMOS,PSL,PB,TELEFONIA,00000000000006,RAMAL,35.66,0.00,35.66
2019,7,,EFRAIM FILHO,DEM,PB,TELEFONIA,00000000000006,RAMAL,44.52,0.00,44.52
2019,7,,HUGO MOTTA,PRB,PB,TELEFONIA,00000000000006,RAMAL,25.08,0.00,25.08
2019,7,,RUY CARNEIRO,PSDB,PB,TELEFONIA,00000000000006,RAMAL,75.62,0.00,75.62
2019,7,,PEDRO CUNHA LIMA,PSDB,PB,TELEFONIA,00000000000006,RAMAL,87.22,0.00,87.22
2019,7,,WELLINGTON ROBERTO,PL,PB,TELEFONIA,00000000000006,RAMAL,136.41,0.00,136.41
2019,6,,WILSON SANTIAGO,PTB,PB,TELEFONIA,00000000000006,RAMAL,28.24,0.00,28.24
2019,6,,JULIAN LEMOS,PSL,PB,TELEFONIA,00000000000006,RAMAL,23.16,0.00,23.16
2019,6,,HUGO MOTTA,PRB,PB,TELEFONIA,00000000000006,RAMAL,36.33,0.00,36.33
2019,6,,RUY CARNEIRO,PSDB,PB,TELEFONIA,00000000000006,RAMAL,62.82,0.00,62.82
2019,6,,WELLINGTON ROBERTO,PL,PB,TELEFONIA,00000000000006,RAMAL,126.43,0.00,126.43
2019,6,,GERVÁSIO MAIA,PSB,PB,TELEFONIA,00000000000006,RAMAL,36.17,0.00,36.17
2019,6,,EFRAIM FILHO,DEM,PB,TELEFONIA,00000000000006,RAMAL,44.87,0.00,44.87
2019,6,,EDNA HENRIQUE,PSDB,PB,TELEFONIA,00000000000006,RAMAL,62.86,0.00,62.86
2019,6,,FREI ANASTACIO RIBEIRO,PT,PB,TELEFONIA,00000000000006,RAMAL,152.54,0.00,152.54
2019,6,,AGUINALDO RIBEIRO,PP,PB,TELEFONIA,00000000000006,RAMAL,26.95,0.00,26.95
